Site,Date_Asat,Date_Rd,Species,Code,Fixer,Nonfixer,Meas,Treatment,Rep,T30_air,Tair,Tleaf,Tleaf_cor,A_area,A_mass,Rd_area,Rd_mass,E,g,WUE (A/g),%N_mass,gN_m-2,LMA,d13C,Leaf_bio_g_end,AGB_est_kg_harv,NLIM,NSAT,NLIM_Alt1,NLSAT_Alt1,NLIM_Alt2,NSAT_Alt2,WL/DIS/DAM,Use_biomass_end
W,7/17/2019,NA,CAEQ,CAEQ,1,0,1,LN,5,23.4,26.52,27.08,26.709728,13.40185453,50.19421171,NA,NA,0.0067,0.645543734,20.76056791,1.84,4.93,267,-28.71,2603.843337,10.60495887,0,1,0,1,0,1,0,1
W,7/17/2019,NA,CAEQ,CAEQ,1,0,1,LN,6,23.4,26.62333333,27.89666667,28.08550533,21.31471237,68.44801659,NA,NA,0.00528,0.378868378,56.25888455,1.31,4.09,311.4,-29.82,40.037919,0.16015811,0,1,0,1,0,1,0,0
W,7/17/2019,NA,CAEQ,CAEQ,1,0,1,LN,7,23.4,26.60333333,28.08,28.42821133,15.42684128,44.24101312,NA,NA,0.00375,0.239515277,64.40859006,1.33,4.63,348.7,-29.13,2217.012746,9.377988995,0,1,0,1,0,1,0,0
W,7/17/2019,NA,CAEQ,CAEQ,1,0,1,LN,8,23.4,26.91,28.59666667,29.109476,19.17643646,62.07975544,NA,NA,0.00517,0.335157131,57.21625672,1.04,3.23,308.9,-30.74,92.134761,0.295566356,0,1,0,1,0,1,0,0
W,7/20/2019,NA,CAEQ,CAEQ,1,0,1,LN,9,23.4,26.45333333,27.51333333,27.53496133,13.7740518,48.74045221,NA,NA,0.00535,0.317109671,43.43624002,2.03,5.74,282.6,-30.84,1793.798614,6.919478651,0,1,0,1,0,1,0,0
W,7/16/2019,NA,CAEQ,CAEQ,1,0,1,MN,1,23.4,26.53,29.47666667,30.977064,13.28112075,43.60184094,NA,NA,0.00374,0.14972758,88.70189924,1.88,5.72,304.6,-28.22,3179.935931,14.05278269,0,1,0,1,0,1,0,1
W,7/16/2019,NA,CAEQ,CAEQ,1,0,1,MN,2,23.4,27.88,30.71333333,32.1249,12.06035081,47.80162827,NA,NA,0.00368,0.152142115,79.27029813,1.77,4.46,252.3,-29.68,1251.656073,4.947660529,0,1,0,1,0,1,0,1
W,7/16/2019,NA,CAEQ,CAEQ,1,0,1,MN,3,23.4,26.45333333,29.52333333,31.12039933,13.17566648,39.566566,NA,NA,0.00368,0.165105302,79.80159499,1.64,5.45,333,-28.89,1601.869515,6.530864132,0,1,0,1,0,1,0,1
W,7/16/2019,NA,CAEQ,CAEQ,1,0,1,MN,4,23.4,26.48333333,29.48666667,31.03147933,12.90547736,45.3300926,NA,NA,0.00234,0.118437247,108.9646854,1.7,4.84,284.7,-30.28,1223.170934,4.761392709,0,1,0,1,0,1,0,1
W,7/17/2019,NA,CAEQ,CAEQ,1,0,1,MN,5,23.4,25.91333333,26.36666667,25.91278933,15.44705515,37.36588087,NA,NA,0.00312,0.25159772,61.39584718,1.51,6.24,413.4,-28.63,1180.238573,4.28699109,0,1,0,1,0,1,0,1
